gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig5386.1128	288.3783487	-0.512013751	0.129547028	-3.952338842	7.74E-05	0.00016305	KC
evm.TU.Contig5386.1199	1073.136804	-0.984133967	0.199793153	-4.92576424	8.40E-07	2.22E-06	KC
evm.TU.Contig5386.1209	328.1480344	-1.259120602	0.246453133	-5.108965693	3.24E-07	8.99E-07	KC
evm.TU.Contig5386.198	8123.629361	-2.11315856	0.199140173	-10.61141269	2.64E-26	4.17E-25	KC
evm.TU.Contig5386.403	9471.034107	-2.188931207	0.228272541	-9.589113071	8.88E-22	9.45E-21	KC
evm.TU.Contig5386.423	53.71235419	-2.052317711	0.21049264	-9.750068752	1.84E-22	2.09E-21	KC
evm.TU.Contig5386.478	14693.60146	-1.888065786	0.162794364	-11.59785721	4.23E-31	9.67E-30	KC
evm.TU.Contig5386.83	7501.326497	-2.437235403	0.248440852	-9.810123335	1.02E-22	1.18E-21	KC
evm.TU.Contig5386.867	2915.33129	-1.699123337	0.205149542	-8.282364777	1.21E-16	8.22E-16	KC
evm.TU.Contig5386.893	1176.789246	-2.101709665	0.360239431	-5.834202159	5.40E-09	1.80E-08	KC
evm.TU.Contig5387.19	340.4907089	-1.448142914	0.320358026	-4.520389052	6.17E-06	1.48E-05	KC
evm.TU.Contig5387.255	3434.684323	-1.797455906	0.231800643	-7.754318018	8.88E-15	5.08E-14	KC
evm.TU.Contig5483.33	617.2218053	-0.98830571	0.199341993	-4.957840028	7.13E-07	1.90E-06	KC
evm.TU.Contig5483.783	1247.886505	-0.378913537	0.147520659	-2.568545587	0.010212628	0.016203526	KC
evm.TU.Contig5483.784	5037.4957	-1.784204085	0.152962392	-11.66433178	1.94E-31	4.56E-30	KC
evm.TU.Contig55996.1	58.08868584	-0.809100131	0.193094839	-4.190169634	2.79E-05	6.20E-05	KC
evm.TU.Contig6055.155	6464.580005	-2.80608673	0.268809811	-10.43892973	1.65E-25	2.45E-24	KC
evm.TU.Contig6055.182	1274.624033	-1.084447422	0.099916753	-10.85350948	1.92E-27	3.31E-26	KC
evm.TU.Contig6055.432	4173.605976	-2.002804689	0.233808229	-8.566014548	1.07E-17	8.00E-17	KC
evm.TU.Contig6055.94	6010.337566	-2.865887518	0.226138502	-12.67315163	8.33E-37	2.88E-35	KC
evm.TU.Contig70607.59	2158.532398	-3.235638369	0.379335099	-8.529762679	1.47E-17	1.08E-16	KC
evm.TU.Contig70607.64	2858.391092	-0.270184585	0.09941284	-2.717803707	0.006571681	0.010728908	KC
evm.TU.Contig75.231	92867.8	-2.09	0.2295046	-9.106572	8.50E-20	7.61E-19	KC
evm.TU.Contig75.261	2469.429	-1.683842	0.15267	-11.02929	2.76E-28	5.14E-27	KC
evm.TU.Contig75.281	3923.714	-0.6815614	0.3262918	-2.088809	0.03672489	0.05343059	KC
evm.TU.Contig75.316	1199.826	-0.7747061	0.198613	-3.900582	9.60E-05	0.000199996	KC
evm.TU.Contig8573.446	2556.461	-0.9512408	0.2207518	-4.309097	1.64E-05	3.74E-05	KC
evm.TU.Contig8573.77	1925.056	-4.022037	0.2866319	-14.03206	9.92E-45	6.04E-43	KC
evm.TU.Contig8624.189	15522.5	-0.8424818	0.1736847	-4.850638	1.23E-06	3.19E-06	KC
evm.TU.Contig8624.265	890.5047	-0.8698456	0.1509576	-5.762184	8.30E-09	2.72E-08	KC
evm.TU.Contig8624.296	2723.939	-2.294906	0.1748715	-13.12338	2.42E-39	1.03E-37	KC
evm.TU.Contig8624.459	8300.029	-3.662572	0.1607269	-22.78755	6.09E-115	1.49E-111	KC
evm.TU.Contig8624.619	5117.161	-3.746872	0.2350974	-15.93753	3.48E-57	5.01E-55	KC
evm.TU.Contig8624.795	5392.571	-1.704715	0.1835293	-9.288514	1.56E-20	1.50E-19	KC
evm.TU.Contig8624.85	887.3107	-1.74086	0.20521	-8.483308	2.19E-17	1.59E-16	KC
evm.TU.Contig9220.195	6822.587	-3.016594	0.2102507	-14.3476	1.10E-46	7.91E-45	KC
evm.TU.Contig9220.237	5084.958	-1.615873	0.2099628	-7.695995	1.40E-14	7.92E-14	KC
evm.TU.Contig9220.31	21061.05	-1.506824	0.2606688	-5.780609	7.44E-09	2.44E-08	KC
evm.TU.Contig9220.796	548.7078	-0.7173834	0.1477727	-4.854642	1.21E-06	3.13E-06	KC
evm.TU.Contig9220.797	2484.898	-0.2857469	0.08037474	-3.555183	0.000377716	0.000729884	KC
evm.TU.Contig9220.938	1892.508	-0.5262528	0.1050515	-5.009473	5.46E-07	1.48E-06	KC
evm.TU.Contig9867.172	598.1182	-0.9673258	0.1196805	-8.082568	6.34E-16	4.04E-15	KC
evm.TU.Contig9867.296	743.4761	-1.291546	0.3467102	-3.725145	0.000195203	0.000391348	KC
evm.TU.Contig9867.824	17727.47	-5.701716	0.4698898	-12.13416	6.96E-34	1.96E-32	KC
evm.TU.Contig9868.227	582.2582	-3.583498	0.2797245	-12.81081	1.43E-37	5.32E-36	KC
evm.TU.Contig9868.404	6502.867	-1.920479	0.1931175	-9.944619	2.66E-23	3.27E-22	KC
evm.TU.Contig9868.463	3189.427	-1.519899	0.1537383	-9.886275	4.77E-23	5.74E-22	KC
evm.TU.Contig9868.581	8.556104	-0.02338173	0.561034	-0.04167614	0.9667569	0.9751685	KC
evm.TU.Contig9868.613	3066.407	-0.435757	0.1788446	-2.436512	0.01482966	0.02295065	KC
evm.TU.Contig9868.785	1612.86	-0.3092388	0.1374835	-2.24928	0.02449469	0.03658424	KC
evm.TU.Contig9868.87	12713.02	-1.870516	0.2100047	-8.907017	5.24E-19	4.40E-18	KC
