gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig5373.270	1256.711	1.435837	0.1088152	13.1952	9.35E-40	2.34E-38	KO
evm.TU.Contig5373.308	13218.95	0.5820477	0.1151084	5.056519	4.27E-07	1.19E-06	KO
evm.TU.Contig5373.433	5662.242	1.027239	0.1412443	7.272777	3.52E-13	1.68E-12	KO
evm.TU.Contig5386.1235	1869.041	0.347546	0.102234	3.399513	0.000675059	0.001306668	KO
evm.TU.Contig5386.373	133.0989	0.5947907	0.2398072	2.480287	0.01312768	0.02106478	KO
evm.TU.Contig5386.571	3857.263	1.577385	0.170115	9.272459	1.82E-20	1.49E-19	KO
evm.TU.Contig5386.619	968.2518	0.7406601	0.08903594	8.318664	8.90E-17	5.53E-16	KO
evm.TU.Contig5386.748	4.600249	-1.686612	0.845441	-1.994949	0.04604845	0.06690383	KO
evm.TU.Contig5386.990	165.818	0.5328133	0.5224977	1.019743	0.3078504	0.3706406	KO
evm.TU.Contig5387.115	0	NA	NA	NA	NA	NA	KO
evm.TU.Contig5387.116	106.9777	-2.020771	0.471676	-4.284236	1.83E-05	4.31E-05	KO
evm.TU.Contig5387.251	1680.449	0.2593492	0.06870249	3.774961	0.000160033	0.000335881	KO
evm.TU.Contig5482.134	8763.738	0.3466486	0.07333749	4.726758	2.28E-06	5.93E-06	KO
evm.TU.Contig5482.241	937.8827	0.1480725	0.2314336	0.6398053	0.5222992	0.5831112	KO
evm.TU.Contig5482.98	188.8305	0.5085815	0.2093048	2.429861	0.0151046	0.02403459	KO
evm.TU.Contig5483.271	5.809624	3.657332	0.8630294	4.237784	2.26E-05	5.25E-05	KO
evm.TU.Contig5483.355	3447.325	-0.0145851	0.0802375	-0.1817741	0.85576	0.8817138	KO
evm.TU.Contig5483.45	117.4086	1.557301	0.614719	2.533355	0.01129765	0.01830627	KO
evm.TU.Contig5483.456	39.69855	2.77775	0.5112418	5.433339	5.53E-08	1.69E-07	KO
evm.TU.Contig5483.643	59.45059	-0.3792424	0.2059513	-1.841418	0.06556034	0.09255187	KO
evm.TU.Contig5483.712	907.2392	1.303077	0.1456496	8.946659	3.66E-19	2.73E-18	KO
evm.TU.Contig5483.774	102.0864	0.153954	0.1193497	1.289941	0.1970712	0.2501853	KO
evm.TU.Contig5483.834	51.43117	-1.021913	0.2988654	-3.419308	0.000627807	0.00122175	KO
evm.TU.Contig6055.270	0.5936701	1.647498	1.33166	1.237176	0.2160218	0.2714107	KO
evm.TU.Contig64.83	4382.774	2.283877	0.1349804	16.92006	3.20E-64	2.97E-62	KO
evm.TU.Contig7167.13	2456.662	2.577141	0.1408286	18.29984	8.30E-75	1.22E-72	KO
evm.TU.Contig75.131	568.9403	-0.5145655	0.1957123	-2.629194	0.008558754	0.01414158	KO
evm.TU.Contig75.303	2.846603	3.615619	1.062179	3.403963	0.000664158	0.00128735	KO
evm.TU.Contig75.60	4145.514	0.4209461	0.1252382	3.361163	0.000776151	0.001489963	KO
